#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
500,95.24723052978516,65.84855592250824,159.99516963561032
1000,93.96776580810547,87.77395150065422,213.2682799674687
1500,102.99322509765625,85.5979692041874,207.98119884974457
2000,101.88518524169922,108.66855078935623,264.03681863668606
2500,131.3053436279297,91.8142381310463,223.08514437322415
3000,135.69003295898438,124.93605348467827,303.56269459285323
3500,129.4534149169922,145.37515297532082,353.2244851118868
4000,141.96499633789062,130.49387768656015,317.06678763676825
4500,123.75298309326172,138.70378243923187,337.0147589353601
5000,146.003173828125,159.0796785056591,386.5229812790979
5500,189.97804260253906,118.13889467716217,287.0473350498357
6000,167.0613555908203,131.25035047531128,318.90482326967407
6500,141.40594482421875,127.94303995370865,310.8689035668309
7000,142.30764770507812,108.953149035573,264.72831967332286
7500,132.78738403320312,106.8760216832161,259.68143081692637
8000,117.32904815673828,141.76139041781425,344.4439652460982
8500,133.1202392578125,130.1945768892765,316.3395631568598
9000,134.27639770507812,118.09783020615578,286.94755887536047
9500,162.62538146972656,80.82526543736458,196.3847479011169
10000,121.22019958496094,129.58355824649334,314.85494394185895
10500,119.8240737915039,130.0736050605774,316.04563251582005
11000,141.8133544921875,120.0773852430284,291.75737193033746
11500,125.79390716552734,132.46821370720863,321.8639198155375
12000,148.45974731445312,116.96170765161514,284.18707129451684
12500,157.8347625732422,114.74258881807327,278.7951794110876
13000,167.77996826171875,141.35764473676682,343.4629663794738
13500,191.58248901367188,115.53756265342236,280.7267627519923
14000,143.19720458984375,153.07767716050148,371.9396512437097
14500,135.0718231201172,131.48257225751877,319.46906287852886
15000,145.3949432373047,123.38929332792759,299.8044625375267
15500,128.74635314941406,126.30319279432297,306.88449387451897
16000,143.32318115234375,100.39343316759914,243.93039672508428
16500,140.22073364257812,95.17682644724846,231.25537499602797
17000,142.0957794189453,111.41104454547167,270.7003778839179
17500,146.9235076904297,98.85573744773865,240.1941889358572
18000,123.7788314819336,138.95882312953472,337.63444266171257
18500,141.39202880859375,129.1217650026083,313.73290432600294
19000,154.14224243164062,105.92571812868118,257.3724359379488
19500,162.15081787109375,117.37246023118496,285.18509513461254
20000,116.6248550415039,140.38582053035498,341.1016818139651
