#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
500,59.77096939086914,62.334180265665054,151.45613454968392
1000,77.09728240966797,81.26922282576561,197.46345094438175
1500,65.29478454589844,92.17016308009624,223.9499510770767
2000,85.94556427001953,66.94969303160906,162.67065152119608
2500,91.67247009277344,95.25202947482467,231.43809914214785
3000,117.19439697265625,105.75572517514229,256.9593964861752
3500,100.560302734375,127.02155774831772,308.62993720375346
4000,112.5643539428711,120.1404359638691,291.9105690754416
4500,112.17818450927734,122.45201576501131,297.52711749064497
5000,120.8605728149414,122.82838654518127,298.4416023411563
5500,119.52325439453125,137.9386409819126,335.1556606522771
6000,99.6150894165039,128.52681237831712,312.287321431814
6500,115.12123107910156,113.30995053052902,275.314234345081
7000,112.04396057128906,142.35550421476364,345.887510004128
7500,102.56759643554688,128.49985820055008,312.221829665384
8000,103.08135223388672,120.3740471303463,292.47818453314846
8500,105.5716323852539,117.01859095692635,284.32528319537323
9000,105.17560577392578,102.12111660838127,248.12822614308809
9500,102.79037475585938,84.5432039797306,205.41838879797513
10000,80.23478698730469,98.80774530768394,240.07758029529316
10500,73.74456787109375,100.85321512818336,245.04754943630908
11000,81.90673828125,123.22180384397507,299.39750587732755
11500,112.57911682128906,87.67763401567936,213.034253083636
12000,75.31439208984375,111.83037056773901,271.71923299965107
12500,89.24283599853516,102.27444325387478,248.5007707237811
13000,98.8641586303711,110.94300946593285,269.56317220192307
13500,101.92215728759766,125.86813342571259,305.8274107463135
14000,112.86206817626953,103.76358687877655,252.11900932506998
14500,103.1398696899414,107.70051449537277,261.68473773074214
15000,100.69109344482422,144.99161925911903,352.2925961566166
15500,126.30756378173828,132.7246132194996,322.486905132205
16000,114.90973663330078,140.6794918179512,341.81522802341215
16500,99.38373565673828,138.72392316162586,337.0636957457558
17000,96.15103149414062,123.13406002521515,299.1843108122226
17500,103.58641815185547,126.02227415144444,306.2019333340259
18000,133.24478149414062,82.8309380300343,201.25801994485505
18500,112.04499816894531,141.9565088748932,344.9180532530716
19000,128.40086364746094,131.7052724659443,320.01016749541463
19500,113.93757629394531,137.44502046890557,333.9562889028477
20000,109.23575592041016,142.71669572591782,346.76511310853107
