#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
500,49.404205322265625,82.35174421966076,200.09370139747074
1000,83.65116119384766,76.83010159805417,186.67752035090678
1500,77.31694030761719,87.78290694952011,213.29003942051042
2000,80.09664916992188,109.21867617964745,265.373482803537
2500,85.68009185791016,111.74434587359428,271.51021496820425
3000,71.05902099609375,130.43775036931038,316.93041259378117
3500,110.71955108642578,106.33141755312681,258.3581819019398
4000,100.62328338623047,122.38191416859627,297.3567885190674
4500,124.68584442138672,104.97380297631025,255.05952528791838
5000,107.81422424316406,120.47529455274343,292.7241899055466
5500,98.88063049316406,129.14799866080284,313.79664541393106
6000,86.8372573852539,131.57561433315277,319.69513135437865
6500,119.19481658935547,105.74441955983639,256.93192672904297
7000,105.65092468261719,120.08724048733711,291.78131765644923
7500,75.5717544555664,141.3852279484272,343.52998653757555
8000,92.1182632446289,97.23382443934679,236.25335464911535
8500,86.85871887207031,119.57444579899311,290.53535755906466
9000,106.0481185913086,96.45929237641394,234.37143959325607
9500,89.08746337890625,109.56128400564194,266.2059323002729
10000,98.24756622314453,96.29604601860046,233.97479264565254
10500,92.04901123046875,104.25567538663745,253.31465869335057
11000,104.20928955078125,112.22327747941017,272.6738964254946
11500,91.39249420166016,105.70937478542328,256.84677687953575
12000,79.5814437866211,119.51874968409538,290.40003022764085
12500,74.73841094970703,103.93440851569176,252.53406226575774
13000,90.37906646728516,102.79534524679184,249.76642950023736
13500,78.95834350585938,100.06317356228828,243.1279502502112
14000,102.10174560546875,117.71868154406548,286.0263244814029
14500,86.11610412597656,113.78194465488195,276.46105949462157
15000,108.60171508789062,130.252045661211,316.4791975920512
15500,126.68841552734375,94.84742568433285,230.45501528878088
16000,108.89271545410156,125.30179107189178,304.4513435007687
16500,113.73870849609375,108.11010324954987,262.67993377243704
17000,128.79774475097656,90.9087177887559,220.8849612599643
17500,123.6200180053711,113.37289750576019,275.46717941485616
18000,124.35215759277344,132.22423893213272,321.2711234363577
18500,134.79360961914062,160.07635805010796,388.9446579666489
19000,116.43260955810547,134.49794772267342,326.79565497008855
19500,114.30442810058594,135.06121895462275,328.1642601740151
20000,110.86949157714844,146.43361747264862,355.7962834517399
