#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
500,51.96860885620117,82.35037177801132,200.09036671485785
1000,84.63710021972656,82.24571433663368,199.83607586743898
1500,80.34749603271484,87.5109244659543,212.62919146437244
2000,75.39874267578125,111.13949127495289,270.04057280584016
2500,71.36631774902344,101.06526310741901,245.56277185741456
3000,95.75031280517578,103.32808917760849,251.06086116072296
3500,96.62968444824219,107.69517724215984,261.6717695688557
4000,88.13687133789062,121.47666177153587,295.15725644426885
4500,99.1784439086914,111.11242155730724,269.97480030702025
5000,103.33432006835938,110.37058275938034,268.1723215335105
5500,88.8593978881836,126.94893203675747,308.45347527716757
6000,87.4337158203125,138.1605241894722,335.6947801657644
6500,117.6154556274414,128.30697537958622,311.7531736830688
7000,115.45032501220703,126.50180837512016,307.3670789987747
7500,107.37921142578125,133.62951064109802,324.6855747073107
8000,113.96097564697266,121.63712181150913,295.54713335129577
8500,84.18768310546875,123.1885835826397,299.31678912852067
9000,77.65214538574219,125.52128072828054,304.98464729635236
9500,104.2870101928711,96.18892525881529,233.7145165637671
10000,104.45872497558594,105.7020059786737,256.8288725615231
10500,89.60354614257812,110.14662271738052,267.62815584286835
11000,87.72212982177734,110.93112215399742,269.5342890705776
11500,83.137451171875,128.53939582780004,312.317895999569
12000,102.81813049316406,101.48986273445189,246.59444048556622
12500,92.89018249511719,129.1498770043254,313.8012093088611
13000,116.48846435546875,95.67343197762966,232.4619995751429
13500,89.66571807861328,108.87850803881884,264.5469611185277
14000,85.42247772216797,112.2919749468565,272.8408137223681
14500,70.3575210571289,112.78628754615784,274.0418670646967
15000,85.1013412475586,120.00997707247734,291.5935872955638
15500,108.9956283569336,113.6004106849432,276.01997832119145
16000,114.2569351196289,108.13019090890884,262.72874165321275
16500,119.76531982421875,102.16536144912243,248.23572980358162
17000,106.92828369140625,118.91030071675777,288.92165466753966
17500,113.29495239257812,117.41083911061287,285.27834600759627
18000,100.16690826416016,120.20397913455963,292.06496274788265
18500,115.06009674072266,139.31520420312881,338.5003576316887
19000,107.15786743164062,162.73684504628181,395.40896173615147
19500,106.64450073242188,161.58097529411316,392.6004935095661
20000,140.5644073486328,110.19441647827625,267.7442824727528
